sid,n_filters_detected
0,nan
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,nan
7,0.0
8,nan
9,nan
10,0.0
11,0.0
12,1.0
13,0.0
14,1.0
15,1.0
16,0.0
17,nan
18,0.0
19,0.0
20,0.0
21,0.0
22,nan
23,0.0
24,0.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.0
30,0.0
31,nan
32,nan
33,0.0
34,0.0
35,nan
36,0.0
37,1.0
38,nan
39,0.0
40,nan
41,1.0
42,1.0
43,0.0
44,nan
45,0.0
46,1.0
47,1.0
48,0.0
49,0.0
50,0.0
51,nan
52,1.0
53,1.0
54,0.0
55,nan
56,0.0
57,nan
58,1.0
59,1.0
60,1.0
61,1.0
62,nan
63,0.0
64,1.0
65,0.0
66,0.0
67,0.0
68,nan
69,0.0
70,1.0
71,nan
72,1.0
73,nan
74,1.0
75,0.0
76,nan
77,nan
78,0.0
79,0.0
80,1.0
81,0.0
82,nan
83,0.0
84,0.0
85,1.0
86,nan
87,nan
88,1.0
89,0.0
90,1.0
91,1.0
92,1.0
93,nan
94,1.0
95,nan
96,nan
97,1.0
98,1.0
99,nan
100,0.0
101,nan
102,1.0
103,nan
104,0.0
105,0.0
106,1.0
107,0.0
108,0.0
109,0.0
110,nan
111,1.0
112,0.0
113,0.0
114,1.0
115,1.0
116,nan
117,nan
118,nan
119,nan
120,nan
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,nan
127,0.0
128,1.0
129,0.0
130,0.0
131,0.0
132,nan
133,0.0
134,1.0
135,nan
136,0.0
137,nan
138,0.0
139,0.0
140,1.0
141,nan
142,nan
143,nan
144,1.0
145,1.0
146,nan
147,nan
148,1.0
149,nan
150,0.0
151,nan
152,0.0
153,nan
154,nan
155,0.0
156,nan
157,1.0
158,1.0
159,1.0
160,0.0
161,1.0
162,0.0
163,1.0
164,1.0
165,1.0
166,0.0
167,nan
168,nan
169,nan
170,nan
171,nan
172,1.0
173,0.0
174,1.0
175,1.0
176,1.0
177,nan
178,1.0
179,0.0
180,1.0
181,nan
182,1.0
183,0.0
184,0.0
185,1.0
186,nan
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,1.0
193,nan
194,1.0
195,nan
196,0.0
197,nan
198,nan
199,1.0
200,0.0
201,1.0
202,0.0
203,1.0
204,1.0
205,nan
206,0.0
207,1.0
208,nan
209,1.0
210,nan
211,0.0
212,0.0
213,0.0
214,0.0
215,nan
216,nan
217,nan
218,0.0
219,0.0
220,nan
221,1.0
222,0.0
223,nan
224,1.0
225,0.0
226,1.0
227,0.0
228,1.0
229,nan
230,0.0
231,1.0
232,nan
233,1.0
234,1.0
235,1.0
236,0.0
237,0.0
238,nan
239,0.0
240,nan
241,0.0
242,nan
243,0.0
244,0.0
245,nan
246,1.0
247,0.0
248,0.0
249,nan
250,nan
251,1.0
252,nan
253,nan
254,1.0
255,nan
256,1.0
257,nan
258,nan
259,1.0
260,0.0
261,nan
262,1.0
263,0.0
264,0.0
265,0.0
266,0.0
267,1.0
268,1.0
269,1.0
270,0.0
271,nan
272,nan
273,0.0
274,1.0
275,0.0
276,0.0
277,0.0
278,nan
279,nan
280,nan
281,0.0
282,0.0
283,1.0
284,1.0
285,0.0
286,nan
287,0.0
288,1.0
289,1.0
290,1.0
291,nan
292,1.0
293,0.0
294,1.0
295,0.0
296,0.0
297,0.0
298,1.0
299,nan
300,1.0
301,1.0
302,nan
303,1.0
304,0.0
305,nan
306,0.0
307,0.0
308,1.0
309,nan
310,0.0
311,1.0
312,nan
313,nan
314,0.0
315,1.0
316,1.0
317,0.0
318,1.0
319,0.0
320,0.0
321,nan
322,0.0
323,1.0
324,0.0
325,nan
326,nan
327,nan
328,nan
329,0.0
330,0.0
331,0.0
332,nan
333,1.0
334,0.0
335,0.0
336,0.0
337,1.0
338,nan
339,1.0
340,0.0
341,1.0
342,1.0
343,0.0
344,1.0
345,nan
346,0.0
347,0.0
348,nan
349,nan
350,0.0
351,nan
352,nan
353,0.0
354,1.0
355,0.0
356,nan
357,0.0
358,nan
359,1.0
360,0.0
361,0.0
362,nan
363,0.0
364,nan
365,0.0
366,1.0
367,1.0
368,nan
369,0.0
370,nan
371,1.0
372,0.0
373,0.0
374,1.0
375,nan
376,0.0
377,1.0
378,0.0
379,nan
380,nan
381,1.0
382,0.0
383,nan
384,nan
385,nan
386,nan
387,0.0
388,0.0
389,nan
390,1.0
391,nan
392,nan
393,1.0
394,1.0
395,1.0
396,nan
397,nan
398,1.0
399,0.0
400,0.0
401,1.0
402,nan
403,1.0
404,0.0
