sid,n_filters_detected
0,nan
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,nan
7,1.0
8,nan
9,nan
10,0.0
11,0.0
12,0.0
13,1.0
14,1.0
15,1.0
16,0.0
17,nan
18,0.0
19,0.0
20,1.0
21,1.0
22,nan
23,0.0
24,1.0
25,0.0
26,1.0
27,1.0
28,0.0
29,0.0
30,0.0
31,nan
32,nan
33,1.0
34,1.0
35,nan
36,0.0
37,1.0
38,nan
39,1.0
40,nan
41,0.0
42,1.0
43,0.0
44,nan
45,0.0
46,1.0
47,0.0
48,0.0
49,0.0
50,1.0
51,nan
52,1.0
53,0.0
54,1.0
55,nan
56,0.0
57,nan
58,1.0
59,0.0
60,0.0
61,0.0
62,nan
63,0.0
64,0.0
65,0.0
66,1.0
67,1.0
68,nan
69,1.0
70,1.0
71,nan
72,1.0
73,nan
74,1.0
75,0.0
76,nan
77,nan
78,1.0
79,0.0
80,0.0
81,1.0
82,nan
83,0.0
84,0.0
85,0.0
86,nan
87,nan
88,0.0
89,1.0
90,0.0
91,0.0
92,0.0
93,nan
94,1.0
95,nan
96,nan
97,0.0
98,0.0
99,nan
100,0.0
101,nan
102,1.0
103,nan
104,1.0
105,0.0
106,0.0
107,1.0
108,1.0
109,0.0
110,nan
111,1.0
112,0.0
113,0.0
114,1.0
115,1.0
116,nan
117,nan
118,nan
119,nan
120,nan
121,1.0
122,0.0
123,1.0
124,0.0
125,1.0
126,nan
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,nan
133,1.0
134,1.0
135,nan
136,0.0
137,nan
138,1.0
139,1.0
140,1.0
141,nan
142,nan
143,nan
144,0.0
145,1.0
146,nan
147,nan
148,0.0
149,nan
150,1.0
151,nan
152,0.0
153,nan
154,nan
155,0.0
156,nan
157,0.0
158,1.0
159,1.0
160,1.0
161,0.0
162,0.0
163,0.0
164,0.0
165,1.0
166,0.0
167,nan
168,nan
169,nan
170,nan
171,nan
172,1.0
173,0.0
174,1.0
175,1.0
176,0.0
177,nan
178,1.0
179,1.0
180,0.0
181,nan
182,0.0
183,1.0
184,1.0
185,0.0
186,nan
187,1.0
188,0.0
189,0.0
190,1.0
191,1.0
192,1.0
193,nan
194,0.0
195,nan
196,0.0
197,nan
198,nan
199,1.0
200,0.0
201,1.0
202,0.0
203,1.0
204,1.0
205,nan
206,1.0
207,0.0
208,nan
209,0.0
210,nan
211,1.0
212,1.0
213,1.0
214,1.0
215,nan
216,nan
217,nan
218,0.0
219,1.0
220,nan
221,0.0
222,0.0
223,nan
224,0.0
225,0.0
226,1.0
227,1.0
228,0.0
229,nan
230,1.0
231,0.0
232,nan
233,1.0
234,1.0
235,0.0
236,1.0
237,0.0
238,nan
239,1.0
240,nan
241,0.0
242,nan
243,1.0
244,1.0
245,nan
246,1.0
247,1.0
248,1.0
249,nan
250,nan
251,1.0
252,nan
253,nan
254,1.0
255,nan
256,0.0
257,nan
258,nan
259,1.0
260,1.0
261,nan
262,0.0
263,1.0
264,1.0
265,0.0
266,1.0
267,0.0
268,1.0
269,1.0
270,0.0
271,nan
272,nan
273,1.0
274,0.0
275,0.0
276,1.0
277,0.0
278,nan
279,nan
280,nan
281,1.0
282,1.0
283,1.0
284,1.0
285,0.0
286,nan
287,1.0
288,0.0
289,0.0
290,0.0
291,nan
292,0.0
293,0.0
294,0.0
295,1.0
296,1.0
297,0.0
298,0.0
299,nan
300,0.0
301,0.0
302,nan
303,1.0
304,0.0
305,nan
306,0.0
307,0.0
308,1.0
309,nan
310,1.0
311,0.0
312,nan
313,nan
314,1.0
315,0.0
316,0.0
317,0.0
318,0.0
319,1.0
320,1.0
321,nan
322,1.0
323,1.0
324,0.0
325,nan
326,nan
327,nan
328,nan
329,1.0
330,0.0
331,1.0
332,nan
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,nan
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,1.0
345,nan
346,0.0
347,1.0
348,nan
349,nan
350,1.0
351,nan
352,nan
353,1.0
354,0.0
355,0.0
356,nan
357,1.0
358,nan
359,0.0
360,1.0
361,1.0
362,nan
363,0.0
364,nan
365,0.0
366,0.0
367,1.0
368,nan
369,0.0
370,nan
371,0.0
372,0.0
373,1.0
374,1.0
375,nan
376,0.0
377,1.0
378,0.0
379,nan
380,nan
381,1.0
382,0.0
383,nan
384,nan
385,nan
386,nan
387,1.0
388,1.0
389,nan
390,1.0
391,nan
392,nan
393,1.0
394,0.0
395,0.0
396,nan
397,nan
398,0.0
399,0.0
400,0.0
401,1.0
402,nan
403,1.0
404,0.0
405,0.0
406,1.0
407,nan
408,0.0
409,nan
410,nan
411,nan
412,1.0
413,nan
414,nan
415,0.0
416,1.0
417,nan
418,nan
419,0.0
420,1.0
421,1.0
422,1.0
423,0.0
424,1.0
